split,case,count,ratio,total_rows
val,all_correct,760,0.8816705336426914,862
val,none_correct,32,0.037122969837587005,862
val,at_least_one_correct,830,0.962877030162413,862
val,lstm_correct,793,0.919953596287703,862
val,tlstm_correct,794,0.9211136890951276,862
val,gat_correct,796,0.9234338747099768,862
test,all_correct,1535,0.8908879860708068,1723
test,none_correct,81,0.047011027278003485,1723
test,at_least_one_correct,1642,0.9529889727219966,1723
test,lstm_correct,1581,0.9175856065002902,1723
test,tlstm_correct,1594,0.9251305861868834,1723
test,gat_correct,1591,0.9233894370284388,1723
